id	name
GO:0051239	regulation of multicellular organismal process
GO:2000241	regulation of reproductive process
GO:0006996	organelle organization
GO:0010906	regulation of glucose metabolic process
GO:0019750	chloroplast localization
GO:0009617	response to bacterium
GO:0051592	response to calcium ion
GO:0034247	snoRNA splicing
GO:0009738	abscisic acid-activated signaling pathway
GO:0080163	regulation of protein serine/threonine phosphatase activity
GO:0009567	double fertilization forming a zygote and endosperm
GO:0034508	centromere complex assembly
GO:0051307	meiotic chromosome separation
GO:0051321	meiotic cell cycle
GO:0080147	root hair cell development
GO:1900033	negative regulation of trichome patterning
GO:0019752	carboxylic acid metabolic process
GO:0048507	meristem development
GO:0071554	cell wall organization or biogenesis
GO:0040007	growth
GO:0045087	innate immune response
GO:0048367	shoot system development
GO:0050832	defense response to fungus
GO:0071310	cellular response to organic substance
GO:0071407	cellular response to organic cyclic compound
GO:0071417	cellular response to organonitrogen compound
GO:0098542	defense response to other organism
GO:1900150	regulation of defense response to fungus
GO:0009888	tissue development
GO:0048364	root development
GO:0071695	anatomical structure maturation
GO:1901565	organonitrogen compound catabolic process
GO:1905392	plant organ morphogenesis
GO:0046854	phosphatidylinositol phosphate biosynthetic process
GO:0009269	response to desiccation
GO:0009644	response to high light intensity
GO:0006520	cellular amino acid metabolic process
GO:0009693	ethylene biosynthetic process
GO:0042218	1-aminocyclopropane-1-carboxylate biosynthetic process
GO:0071369	cellular response to ethylene stimulus
GO:0000226	microtubule cytoskeleton organization
GO:0007097	nuclear migration
GO:0008360	regulation of cell shape
GO:0009965	leaf morphogenesis
GO:0010091	trichome branching
GO:0010482	regulation of epidermal cell division
GO:0031129	inductive cell-cell signaling
GO:0034063	stress granule assembly
GO:0042814	monopolar cell growth
GO:0045604	regulation of epidermal cell differentiation
GO:0048444	floral organ morphogenesis
GO:0048530	fruit morphogenesis
GO:2000039	regulation of trichome morphogenesis
GO:0006357	regulation of transcription by RNA polymerase II
GO:0009911	positive regulation of flower development
GO:0046777	protein autophosphorylation
GO:0035556	intracellular signal transduction
GO:0033214	siderophore-dependent iron import into cell
GO:0055072	iron ion homeostasis
GO:0006631	fatty acid metabolic process
GO:0010143	cutin biosynthetic process
GO:0006833	water transport
GO:0055085	transmembrane transport
GO:0090558	plant epidermis development
GO:0009753	response to jasmonic acid
GO:0023052	signaling
GO:0033619	membrane protein proteolysis
GO:0098771	inorganic ion homeostasis
GO:0016567	protein ubiquitination
GO:0009553	embryo sac development
GO:0009556	microsporogenesis
GO:0042138	meiotic DNA double-strand break formation
GO:0048236	plant-type sporogenesis
GO:0051026	chiasma assembly
GO:0070192	chromosome organization involved in meiotic cell cycle
GO:0006637	acyl-CoA metabolic process
GO:0009062	fatty acid catabolic process
GO:0051289	protein homotetramerization
GO:0009788	negative regulation of abscisic acid-activated signaling pathway
GO:0071456	cellular response to hypoxia
GO:0009742	brassinosteroid mediated signaling pathway
GO:0030042	actin filament depolymerization
GO:0006382	adenosine to inosine editing
GO:0006400	tRNA modification
GO:0009642	response to light intensity
GO:0009892	negative regulation of metabolic process
GO:0032787	monocarboxylic acid metabolic process
GO:0051017	actin filament bundle assembly
GO:0009658	chloroplast organization
GO:0010109	regulation of photosynthesis
GO:0046394	carboxylic acid biosynthetic process
GO:0065003	protein-containing complex assembly
GO:1901605	alpha-amino acid metabolic process
GO:0007031	peroxisome organization
GO:0016559	peroxisome fission
GO:0044375	regulation of peroxisome size
GO:0031167	rRNA methylation
GO:0080009	mRNA methylation
GO:0006259	DNA metabolic process
GO:0009650	UV protection
GO:0090305	nucleic acid phosphodiester bond hydrolysis
GO:0006508	proteolysis
GO:0006620	post-translational protein targeting to endoplasmic reticulum membrane
GO:0048767	root hair elongation
GO:0018026	peptidyl-lysine monomethylation
GO:0030433	ubiquitin-dependent ERAD pathway
GO:0000398	mRNA splicing, via spliceosome
GO:0000413	protein peptidyl-prolyl isomerization
GO:0006457	protein folding
GO:0034605	cellular response to heat
GO:0007018	microtubule-based movement
GO:0030705	cytoskeleton-dependent intracellular transport
GO:0009561	megagametogenesis
GO:0016192	vesicle-mediated transport
GO:0032012	regulation of ARF protein signal transduction
GO:0006886	intracellular protein transport
GO:0006904	vesicle docking involved in exocytosis
GO:0009813	flavonoid biosynthetic process
GO:0030639	polyketide biosynthetic process
GO:0009790	embryo development
GO:0031327	negative regulation of cellular biosynthetic process
GO:0048581	negative regulation of post-embryonic development
GO:0009554	megasporogenesis
GO:0048653	anther development
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0017148	negative regulation of translation
GO:0000338	protein deneddylation
GO:0009640	photomorphogenesis
GO:0010387	COP9 signalosome assembly
GO:0032259	methylation
GO:1900458	negative regulation of brassinosteroid mediated signaling pathway
GO:0009966	regulation of signal transduction
GO:0009723	response to ethylene
GO:0009751	response to salicylic acid
GO:0043069	negative regulation of programmed cell death
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0008380	RNA splicing
GO:0010183	pollen tube guidance
GO:0010628	positive regulation of gene expression
GO:0006487	protein N-linked glycosylation
GO:0043068	positive regulation of programmed cell death
GO:0016126	sterol biosynthetic process
GO:0008610	lipid biosynthetic process
GO:0043447	alkane biosynthetic process
GO:0046185	aldehyde catabolic process
GO:0090693	plant organ senescence
GO:0002376	immune system process
GO:0010243	response to organonitrogen compound
GO:0019760	glucosinolate metabolic process
GO:0045036	protein targeting to chloroplast
GO:0050790	regulation of catalytic activity
GO:0051603	proteolysis involved in protein catabolic process
GO:0010200	response to chitin
GO:0031347	regulation of defense response
GO:0071704	organic substance metabolic process
GO:0010099	regulation of photomorphogenesis
GO:0055121	response to high fluence blue light stimulus by blue high-fluence system
GO:0080022	primary root development
GO:1904667	negative regulation of ubiquitin protein ligase activity
GO:0010497	plasmodesmata-mediated intercellular transport
GO:2000280	regulation of root development
GO:0009585	red, far-red light phototransduction
GO:0009785	blue light signaling pathway
GO:0010218	response to far red light
GO:0002239	response to oomycetes
GO:0005975	carbohydrate metabolic process
GO:0006032	chitin catabolic process
GO:0016998	cell wall macromolecule catabolic process
GO:0010015	root morphogenesis
GO:0050793	regulation of developmental process
GO:0016024	CDP-diacylglycerol biosynthetic process
GO:0009639	response to red or far red light
GO:0009686	gibberellin biosynthetic process
GO:0045487	gibberellin catabolic process
GO:0009846	pollen germination
GO:0010101	post-embryonic root morphogenesis
GO:1904960	positive regulation of cytochrome-c oxidase activity
GO:0010112	regulation of systemic acquired resistance
GO:0045892	negative regulation of DNA-templated transcription
GO:0016053	organic acid biosynthetic process
GO:0006778	porphyrin-containing compound metabolic process
GO:0031324	negative regulation of cellular metabolic process
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0030322	stabilization of membrane potential
GO:0071805	potassium ion transmembrane transport
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
GO:0006338	chromatin remodeling
GO:0006349	regulation of gene expression by genomic imprinting
GO:0009646	response to absence of light
GO:0031507	heterochromatin formation
GO:0043966	histone H3 acetylation
GO:0098532	histone H3-K27 trimethylation
GO:2000014	regulation of endosperm development
GO:0009834	plant-type secondary cell wall biogenesis
GO:0031328	positive regulation of cellular biosynthetic process
GO:1901642	nucleoside transmembrane transport
GO:0031222	arabinan catabolic process
GO:0045493	xylan catabolic process
GO:0002213	defense response to insect
GO:0009628	response to abiotic stimulus
GO:0031349	positive regulation of defense response
GO:0006366	transcription by RNA polymerase II
GO:0009960	endosperm development
GO:0006606	protein import into nucleus
GO:0006607	NLS-bearing protein import into nucleus
GO:0045489	pectin biosynthetic process
GO:0048354	mucilage biosynthetic process involved in seed coat development
GO:0048363	mucilage pectin metabolic process
GO:0071668	plant-type cell wall assembly
GO:0000919	cell plate assembly
GO:0009833	plant-type primary cell wall biogenesis
GO:0030244	cellulose biosynthetic process
GO:0016573	histone acetylation
GO:0043967	histone H4 acetylation
GO:0048510	regulation of timing of transition from vegetative to reproductive phase
GO:0048586	regulation of long-day photoperiodism, flowering
GO:2000028	regulation of photoperiodism, flowering
GO:0006412	translation
GO:0007389	pattern specification process
GO:0009624	response to nematode
GO:0009755	hormone-mediated signaling pathway
GO:0042545	cell wall modification
GO:0045490	pectin catabolic process
GO:0006950	response to stress
GO:0009626	plant-type hypersensitive response
GO:0009627	systemic acquired resistance
GO:0009697	salicylic acid biosynthetic process
GO:0010167	response to nitrate
GO:0010337	regulation of salicylic acid metabolic process
GO:0080021	response to benzoic acid
GO:0042273	ribosomal large subunit biogenesis
GO:0006772	thiamine metabolic process
GO:0009229	thiamine diphosphate biosynthetic process
GO:0006952	defense response
GO:0007267	cell-cell signaling
GO:0019722	calcium-mediated signaling
GO:0030308	negative regulation of cell growth
GO:0010270	photosystem II oxygen evolving complex assembly
GO:0009407	toxin catabolic process
GO:0046686	response to cadmium ion
GO:0000076	DNA replication checkpoint signaling
GO:1902750	negative regulation of cell cycle G2/M phase transition
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0006635	fatty acid beta-oxidation
GO:0016558	protein import into peroxisome matrix
GO:0009860	pollen tube growth
GO:0006900	vesicle budding from membrane
GO:0048268	clathrin coat assembly
GO:0072583	clathrin-dependent endocytosis
GO:0072659	protein localization to plasma membrane
GO:0010223	secondary shoot formation
GO:1901601	strigolactone biosynthetic process
GO:0007033	vacuole organization
GO:0009825	multidimensional cell growth
GO:0010090	trichome morphogenesis
GO:0033962	P-body assembly
GO:0071472	cellular response to salt stress
GO:0080001	mucilage extrusion from seed coat
GO:1902892	positive regulation of root hair elongation
GO:1903335	regulation of vacuolar transport
GO:1904580	regulation of intracellular mRNA localization
GO:0045491	xylan metabolic process
GO:0009606	tropism
GO:0006552	leucine catabolic process
GO:0008618	7-methylguanosine metabolic process
GO:0006073	cellular glucan metabolic process
GO:0009266	response to temperature stimulus
GO:0009645	response to low light intensity stimulus
GO:0015994	chlorophyll metabolic process
GO:0022607	cellular component assembly
GO:0042440	pigment metabolic process
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0000380	alternative mRNA splicing, via spliceosome
GO:0017196	N-terminal peptidyl-methionine acetylation
GO:0010027	thylakoid membrane organization
GO:0034051	negative regulation of plant-type hypersensitive response
GO:1900425	negative regulation of defense response to bacterium
GO:0010075	regulation of meristem growth
GO:0000717	nucleotide-excision repair, DNA duplex unwinding
GO:0006281	DNA repair
GO:0009408	response to heat
GO:0009411	response to UV
GO:0033683	nucleotide-excision repair, DNA incision
GO:0045951	positive regulation of mitotic recombination
GO:0009267	cellular response to starvation
GO:0008104	protein localization
GO:0051641	cellular localization
GO:0001113	transcription open complex formation at RNA polymerase II promoter
GO:0009893	positive regulation of metabolic process
GO:0005977	glycogen metabolic process
GO:0010021	amylopectin biosynthetic process
GO:0019252	starch biosynthetic process
GO:0000460	maturation of 5.8S rRNA
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0034427	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'
GO:0034475	U4 snRNA 3'-end processing
GO:0043928	exonucleolytic catabolism of deadenylated mRNA
GO:0060149	negative regulation of post-transcriptional gene silencing
GO:0071034	CUT catabolic process
GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process
GO:0071038	nuclear polyadenylation-dependent tRNA catabolic process
GO:0071051	polyadenylation-dependent snoRNA 3'-end processing
GO:0042594	response to starvation
GO:0009620	response to fungus
GO:0071446	cellular response to salicylic acid stimulus
GO:0000160	phosphorelay signal transduction system
GO:0009557	antipodal cell differentiation
GO:0009560	embryo sac egg cell differentiation
GO:0009736	cytokinin-activated signaling pathway
GO:0080036	regulation of cytokinin-activated signaling pathway
GO:0032880	regulation of protein localization
GO:1900459	positive regulation of brassinosteroid mediated signaling pathway
GO:0006402	mRNA catabolic process
GO:0048573	photoperiodism, flowering
GO:0030163	protein catabolic process
GO:0044255	cellular lipid metabolic process
GO:0006782	protoporphyrinogen IX biosynthetic process
GO:0015995	chlorophyll biosynthetic process
GO:0033014	tetrapyrrole biosynthetic process
GO:0000493	box H/ACA snoRNP assembly
GO:0001522	pseudouridine synthesis
GO:0042254	ribosome biogenesis
GO:0015031	protein transport
GO:0006325	chromatin organization
GO:0035970	peptidyl-threonine dephosphorylation
GO:0010206	photosystem II repair
GO:0010207	photosystem II assembly
GO:0071484	cellular response to light intensity
GO:0006109	regulation of carbohydrate metabolic process
GO:0043085	positive regulation of catalytic activity
GO:0043086	negative regulation of catalytic activity
GO:0019827	stem cell population maintenance
GO:0043412	macromolecule modification
GO:0002682	regulation of immune system process
GO:0032968	positive regulation of transcription elongation by RNA polymerase II
GO:0070816	phosphorylation of RNA polymerase II C-terminal domain
GO:0009648	photoperiodism
GO:0000122	negative regulation of transcription by RNA polymerase II
GO:0010923	negative regulation of phosphatase activity
GO:0001709	cell fate determination
GO:0010076	maintenance of floral meristem identity
GO:0010077	maintenance of inflorescence meristem identity
GO:0010492	maintenance of shoot apical meristem identity
GO:0045814	negative regulation of gene expression, epigenetic
GO:0000278	mitotic cell cycle
GO:0032147	activation of protein kinase activity
GO:0051225	spindle assembly
GO:0060236	regulation of mitotic spindle organization
GO:0090307	mitotic spindle assembly
GO:0010187	negative regulation of seed germination
GO:0048522	positive regulation of cellular process
GO:0048532	anatomical structure arrangement
GO:0008356	asymmetric cell division
GO:0009939	positive regulation of gibberellic acid mediated signaling pathway
GO:0034504	protein localization to nucleus
GO:0045893	positive regulation of DNA-templated transcription
GO:0009735	response to cytokinin
GO:0080183	response to photooxidative stress
GO:0007005	mitochondrion organization
GO:0009845	seed germination
GO:0010431	seed maturation
GO:0071215	cellular response to abscisic acid stimulus
GO:0006897	endocytosis
GO:0044281	small molecule metabolic process
GO:0071478	cellular response to radiation
GO:0045292	mRNA cis splicing, via spliceosome
GO:0018105	peptidyl-serine phosphorylation
GO:0009718	anthocyanin-containing compound biosynthetic process
GO:0009962	regulation of flavonoid biosynthetic process
GO:0032509	endosome transport via multivesicular body sorting pathway
GO:0045324	late endosome to vacuole transport
GO:0006470	protein dephosphorylation
GO:0010273	detoxification of copper ion
GO:0046938	phytochelatin biosynthetic process
GO:0098849	cellular detoxification of cadmium ion
GO:0006629	lipid metabolic process
GO:0016127	sterol catabolic process
GO:0007142	male meiosis II
GO:0031047	gene silencing by RNA
GO:0034968	histone lysine methylation
GO:0044085	cellular component biogenesis
GO:0006626	protein targeting to mitochondrion
GO:0000395	mRNA 5'-splice site recognition
GO:0006397	mRNA processing
GO:0009733	response to auxin
GO:0030007	cellular potassium ion homeostasis
GO:1901527	abscisic acid-activated signaling pathway involved in stomatal movement
GO:1990069	stomatal opening
GO:0006914	autophagy
GO:0001731	formation of translation preinitiation complex
GO:0045903	positive regulation of translational fidelity
GO:0007030	Golgi organization
GO:0018107	peptidyl-threonine phosphorylation
GO:0006633	fatty acid biosynthetic process
GO:0010345	suberin biosynthetic process
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0009734	auxin-activated signaling pathway
GO:1900057	positive regulation of leaf senescence
GO:0046739	transport of virus in multicellular host
GO:0000028	ribosomal small subunit assembly
GO:0006741	NADP biosynthetic process
GO:1905037	autophagosome organization
GO:0010105	negative regulation of ethylene-activated signaling pathway
GO:0006955	immune response
GO:0044550	secondary metabolite biosynthetic process
GO:0009637	response to blue light
GO:0009638	phototropism
GO:0009909	regulation of flower development
GO:0010118	stomatal movement
GO:0010244	response to low fluence blue light stimulus by blue low-fluence system
GO:0010617	circadian regulation of calcium ion oscillation
GO:0032922	circadian regulation of gene expression
GO:0043153	entrainment of circadian clock by photoperiod
GO:0051607	defense response to virus
GO:0072387	flavin adenine dinucleotide metabolic process
GO:1902347	response to strigolactone
GO:2000379	positive regulation of reactive oxygen species metabolic process
GO:0006099	tricarboxylic acid cycle
GO:0006107	oxaloacetate metabolic process
GO:0006108	malate metabolic process
GO:0006734	NADH metabolic process
GO:0010043	response to zinc ion
GO:0014070	response to organic cyclic compound
GO:0007204	positive regulation of cytosolic calcium ion concentration
GO:0017157	regulation of exocytosis
GO:0030834	regulation of actin filament depolymerization
GO:0050848	regulation of calcium-mediated signaling
GO:0050850	positive regulation of calcium-mediated signaling
GO:0051650	establishment of vesicle localization
GO:0044270	cellular nitrogen compound catabolic process
GO:0046700	heterocycle catabolic process
GO:0070534	protein K63-linked ubiquitination
GO:0010051	xylem and phloem pattern formation
GO:0010114	response to red light
GO:0042542	response to hydrogen peroxide
GO:0110096	cellular response to aldehyde
GO:0009851	auxin biosynthetic process
GO:0033354	chlorophyll cycle
GO:0009853	photorespiration
GO:0001682	tRNA 5'-leader removal
GO:0008033	tRNA processing
GO:0009106	lipoate metabolic process
GO:0009249	protein lipoylation
GO:0045128	negative regulation of reciprocal meiotic recombination
GO:0044272	sulfur compound biosynthetic process
GO:0071669	plant-type cell wall organization or biogenesis
GO:0000910	cytokinesis
GO:1901135	carbohydrate derivative metabolic process
GO:0010124	phenylacetate catabolic process
GO:0007062	sister chromatid cohesion
GO:0009920	cell plate formation involved in plant-type cell wall biogenesis
GO:0042176	regulation of protein catabolic process
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0007017	microtubule-based process
GO:0071258	cellular response to gravity
GO:0090630	activation of GTPase activity
GO:0016579	protein deubiquitination
GO:0019919	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine
GO:0005986	sucrose biosynthetic process
GO:0045037	protein import into chloroplast stroma
GO:0051123	RNA polymerase II preinitiation complex assembly
GO:0010468	regulation of gene expression
GO:1903409	reactive oxygen species biosynthetic process
GO:0009057	macromolecule catabolic process
GO:0009968	negative regulation of signal transduction
GO:0016311	dephosphorylation
GO:0071398	cellular response to fatty acid
GO:0015749	monosaccharide transmembrane transport
GO:0006289	nucleotide-excision repair
GO:0006351	DNA-templated transcription
GO:0009789	positive regulation of abscisic acid-activated signaling pathway
GO:1902457	negative regulation of stomatal opening
GO:2000038	regulation of stomatal complex development
GO:0007275	multicellular organism development
GO:0010268	brassinosteroid homeostasis
GO:0016132	brassinosteroid biosynthetic process
GO:0006486	protein glycosylation
GO:0007131	reciprocal meiotic recombination
GO:0010252	auxin homeostasis
GO:0032446	protein modification by small protein conjugation
GO:0045116	protein neddylation
GO:0006816	calcium ion transport
GO:0006874	cellular calcium ion homeostasis
GO:0034220	ion transmembrane transport
GO:0071230	cellular response to amino acid stimulus
GO:0071260	cellular response to mechanical stimulus
GO:0071311	cellular response to acetate
GO:0010214	seed coat development
GO:0048497	maintenance of floral organ identity
GO:0052541	plant-type cell wall cellulose metabolic process
GO:2000144	positive regulation of DNA-templated transcription initiation
GO:0042538	hyperosmotic salinity response
GO:1903426	regulation of reactive oxygen species biosynthetic process
GO:0071577	zinc ion transmembrane transport
GO:0098655	cation transmembrane transport
GO:0002237	response to molecule of bacterial origin
GO:0007568	aging
GO:0071569	protein ufmylation
GO:0010256	endomembrane system organization
GO:0010073	meristem maintenance
GO:0048646	anatomical structure formation involved in morphogenesis
GO:0006913	nucleocytoplasmic transport
GO:0010605	negative regulation of macromolecule metabolic process
GO:0035194	post-transcriptional gene silencing by RNA
GO:0010067	procambium histogenesis
GO:0010305	leaf vascular tissue pattern formation
GO:0010588	cotyledon vascular tissue pattern formation
GO:0032957	inositol trisphosphate metabolic process
GO:0046855	inositol phosphate dephosphorylation
GO:0046856	phosphatidylinositol dephosphorylation
GO:0048016	inositol phosphate-mediated signaling
GO:0080188	gene silencing by RNA-directed DNA methylation
GO:1900370	positive regulation of post-transcriptional gene silencing by RNA
GO:0010344	seed oilbody biogenesis
GO:0090110	COPII-coated vesicle cargo loading
GO:0044283	small molecule biosynthetic process
GO:0046482	para-aminobenzoic acid metabolic process
GO:0006075	(1->3)-beta-D-glucan biosynthetic process
GO:0009061	anaerobic respiration
GO:0051258	protein polymerization
GO:0051302	regulation of cell division
GO:0090708	specification of plant organ axis polarity
GO:2000067	regulation of root morphogenesis
GO:0006812	cation transport
GO:0006814	sodium ion transport
GO:0006885	regulation of pH
GO:0030203	glycosaminoglycan metabolic process
GO:0005978	glycogen biosynthetic process
GO:0006148	inosine catabolic process
GO:0006152	purine nucleoside catabolic process
GO:0007584	response to nutrient
GO:0009630	gravitropism
GO:0009743	response to carbohydrate
GO:0010087	phloem or xylem histogenesis
GO:0010182	sugar mediated signaling pathway
GO:0042631	cellular response to water deprivation
GO:0070301	cellular response to hydrogen peroxide
GO:0071475	cellular hyperosmotic salinity response
GO:0080024	indolebutyric acid metabolic process
GO:0009451	RNA modification
GO:0009615	response to virus
GO:0046741	transport of virus in host, tissue to tissue
GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly
GO:0042147	retrograde transport, endosome to Golgi
GO:0010119	regulation of stomatal movement
GO:1902456	regulation of stomatal opening
GO:1903286	regulation of potassium ion import
GO:0040029	epigenetic regulation of gene expression
GO:0044648	histone H3-K4 dimethylation
GO:0051568	histone H3-K4 methylation
GO:0001708	cell fate specification
GO:0009809	lignin biosynthetic process
GO:0010053	root epidermal cell differentiation
GO:0043255	regulation of carbohydrate biosynthetic process
GO:0048580	regulation of post-embryonic development
GO:1901617	organic hydroxy compound biosynthetic process
GO:0000209	protein polyubiquitination
GO:0010224	response to UV-B
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0006284	base-excision repair
GO:0006285	base-excision repair, AP site formation
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion
GO:0080111	DNA demethylation
GO:0006865	amino acid transport
GO:0051555	flavonol biosynthetic process
GO:0006000	fructose metabolic process
GO:0090351	seedling development
GO:1902448	positive regulation of shade avoidance
GO:0006636	unsaturated fatty acid biosynthetic process
GO:0048609	multicellular organismal reproductive process
GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0033365	protein localization to organelle
GO:0009861	jasmonic acid and ethylene-dependent systemic resistance
GO:0009873	ethylene-activated signaling pathway
GO:0048658	anther wall tapetum development
GO:0052543	callose deposition in cell wall
GO:0006353	DNA-templated transcription termination
GO:0010239	chloroplast mRNA processing
GO:0006465	signal peptide processing
GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0045694	regulation of embryo sac egg cell differentiation
GO:0048437	floral organ development
GO:0009294	DNA-mediated transformation
GO:0045931	positive regulation of mitotic cell cycle
GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase
GO:0055088	lipid homeostasis
GO:0000470	maturation of LSU-rRNA
GO:0005992	trehalose biosynthetic process
GO:0070413	trehalose metabolism in response to stress
GO:0010304	PSII associated light-harvesting complex II catabolic process
GO:0019684	photosynthesis, light reaction
GO:0015786	UDP-glucose transmembrane transport
GO:0010233	phloem transport
GO:0080165	callose deposition in phloem sieve plate
GO:0090153	regulation of sphingolipid biosynthetic process
GO:1904222	positive regulation of serine C-palmitoyltransferase activity
GO:0010154	fruit development
GO:0048235	pollen sperm cell differentiation
GO:0006574	valine catabolic process
GO:0001510	RNA methylation
GO:0006559	L-phenylalanine catabolic process
GO:0006572	tyrosine catabolic process
GO:0009072	aromatic amino acid family metabolic process
GO:0010189	vitamin E biosynthetic process
GO:0010236	plastoquinone biosynthetic process
GO:0016117	carotenoid biosynthetic process
GO:0006261	DNA-templated DNA replication
GO:0007127	meiosis I
GO:0031145	anaphase-promoting complex-dependent catabolic process
GO:0045842	positive regulation of mitotic metaphase/anaphase transition
GO:0048229	gametophyte development
GO:0051128	regulation of cellular component organization
GO:0051172	negative regulation of nitrogen compound metabolic process
GO:0051726	regulation of cell cycle
GO:0070979	protein K11-linked ubiquitination
GO:0009867	jasmonic acid mediated signaling pathway
GO:0042430	indole-containing compound metabolic process
GO:0044528	regulation of mitochondrial mRNA stability
GO:0080156	mitochondrial mRNA modification
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0006334	nucleosome assembly
GO:0030261	chromosome condensation
GO:0045910	negative regulation of DNA recombination
GO:0051865	protein autoubiquitination
