go.id	term
GO:0002599	negative regulation of antigen processing and presentation of lipid antigen via MHC class Ib
GO:0051522	activation of monopolar cell growth
GO:0051523	cell growth mode switching, monopolar to bipolar
GO:0051520	termination of bipolar cell growth
GO:0051521	termination of monopolar cell growth
GO:0002595	regulation of antigen processing and presentation of peptide antigen via MHC class Ib
GO:0002596	negative regulation of antigen processing and presentation of peptide antigen via MHC class Ib
GO:0002597	positive regulation of antigen processing and presentation of peptide antigen via MHC class Ib
GO:0051524	cell growth mode switching, bipolar to monopolar
GO:0002598	regulation of antigen processing and presentation of lipid antigen via MHC class Ib
GO:0002591	positive regulation of antigen processing and presentation of peptide antigen via MHC class I
GO:0002592	regulation of antigen processing and presentation via MHC class Ib
GO:0002593	negative regulation of antigen processing and presentation via MHC class Ib
GO:0002594	positive regulation of antigen processing and presentation via MHC class Ib
GO:0002590	negative regulation of antigen processing and presentation of peptide antigen via MHC class I
GO:1905937	negative regulation of germ cell proliferation
GO:1905938	positive regulation of germ cell proliferation
GO:1905939	regulation of gonad development
GO:0002566	somatic diversification of immune receptors via somatic mutation
GO:0002567	somatic diversification of FREP-based immune receptors
GO:0002568	somatic diversification of T cell receptor genes
GO:0002569	somatic diversification of immune receptors by N region addition
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus
GO:0002563	somatic diversification of immune receptors via alternate splicing
GO:0002564	alternate splicing of immunoglobulin genes
GO:0002565	somatic diversification of immune receptors via gene conversion
GO:0002560	basophil mediated immunity
GO:0002561	basophil degranulation
GO:0051544	positive regulation of elastin biosynthetic process
GO:0002577	regulation of antigen processing and presentation
GO:0002578	negative regulation of antigen processing and presentation
GO:0051545	negative regulation of elastin biosynthetic process
GO:0002579	positive regulation of antigen processing and presentation
GO:0051542	elastin biosynthetic process
GO:0051543	regulation of elastin biosynthetic process
GO:0051548	negative regulation of keratinocyte migration
GO:0002573	myeloid leukocyte differentiation
GO:0051549	positive regulation of keratinocyte migration
GO:0002574	thrombocyte differentiation
GO:0002575	basophil chemotaxis
GO:0051547	regulation of keratinocyte migration
GO:0002576	platelet degranulation
GO:0002570	somatic diversification of immunoglobulin genes by N region addition
GO:0002571	somatic diversification of T cell receptor genes by N region addition
GO:0002572	pro-T cell differentiation
GO:1905955	negative regulation of endothelial tube morphogenesis
GO:0051541	elastin metabolic process
GO:0051555	flavonol biosynthetic process
GO:0075522	IRES-dependent viral translational initiation
GO:0002544	chronic inflammatory response
GO:0002545	chronic inflammatory response to non-antigenic stimulus
GO:0051556	leucoanthocyanidin metabolic process
GO:0002546	negative regulation of tissue kallikrein-kinin cascade
GO:0051553	flavone biosynthetic process
GO:0051554	flavonol metabolic process
GO:0002547	positive regulation of tissue kallikrein-kinin cascade
GO:0002540	leukotriene production involved in inflammatory response
GO:0051559	phlobaphene biosynthetic process
GO:0002541	activation of plasma proteins involved in acute inflammatory response
GO:0051557	leucoanthocyanidin biosynthetic process
GO:0002542	Factor XII activation
GO:0002543	activation of blood coagulation via clotting cascade
GO:0051558	phlobaphene metabolic process
GO:0051551	aurone biosynthetic process
GO:0002548	monocyte chemotaxis
GO:0051552	flavone metabolic process
GO:0002549	negative regulation of plasma kallikrein-kinin cascade
GO:0075520	actin-dependent intracellular transport of virus
GO:0051550	aurone metabolic process
GO:0075521	microtubule-dependent intracellular transport of viral material towards nucleus
GO:0099500	vesicle fusion to plasma membrane
GO:0002555	histamine secretion by platelet
GO:0051567	histone H3-K9 methylation
GO:0002556	serotonin secretion by basophil
GO:0051564	positive regulation of smooth endoplasmic reticulum calcium ion concentration
GO:0002557	histamine secretion by basophil
GO:0051565	negative regulation of smooth endoplasmic reticulum calcium ion concentration
GO:0002558	type I hypersensitivity mediated by mast cells
GO:0002551	mast cell chemotaxis
GO:0002552	serotonin secretion by mast cell
GO:0051568	histone H3-K4 methylation
GO:0002553	histamine secretion by mast cell
GO:0051569	regulation of histone H3-K4 methylation
GO:0002554	serotonin secretion by platelet
GO:0002550	positive regulation of plasma kallikrein-kinin cascade
GO:0099509	regulation of presynaptic cytosolic calcium ion concentration
GO:0099506	synaptic vesicle transport along actin filament
GO:0051562	negative regulation of mitochondrial calcium ion concentration
GO:0099504	synaptic vesicle cycle
GO:0002559	type I hypersensitivity mediated by basophils
GO:0051563	smooth endoplasmic reticulum calcium ion homeostasis
GO:0099505	regulation of presynaptic membrane potential
GO:0051560	mitochondrial calcium ion homeostasis
GO:0099502	calcium-dependent activation of synaptic vesicle fusion
GO:0051561	positive regulation of mitochondrial calcium ion concentration
GO:0002522	leukocyte migration involved in immune response
GO:0002523	leukocyte migration involved in inflammatory response
GO:0002524	hypersensitivity
GO:0002525	acute inflammatory response to non-antigenic stimulus
GO:0002520	immune system development
GO:0002521	leukocyte differentiation
GO:0051570	regulation of histone H3-K9 methylation
GO:0051573	negative regulation of histone H3-K9 methylation
GO:0002526	acute inflammatory response
GO:0051574	positive regulation of histone H3-K9 methylation
GO:0002527	vasodilation involved in acute inflammatory response
GO:0002528	regulation of vascular permeability involved in acute inflammatory response
GO:0051571	positive regulation of histone H3-K4 methylation
GO:0002529	regulation of plasma kallikrein-kinin cascade
GO:0051572	negative regulation of histone H3-K4 methylation
GO:0002533	lysosomal enzyme secretion involved in inflammatory response
GO:0051588	regulation of neurotransmitter transport
GO:0051589	negative regulation of neurotransmitter transport
GO:0002534	cytokine production involved in inflammatory response
GO:0051586	positive regulation of dopamine uptake involved in synaptic transmission
GO:0002536	respiratory burst involved in inflammatory response
GO:0051587	inhibition of dopamine uptake involved in synaptic transmission
GO:0002530	regulation of systemic arterial blood pressure involved in acute-phase response
GO:0002531	regulation of heart contraction involved in acute-phase response
GO:0002532	production of molecular mediator involved in inflammatory response
GO:0051580	regulation of neurotransmitter uptake
GO:0051581	negative regulation of neurotransmitter uptake
GO:0051584	regulation of dopamine uptake involved in synaptic transmission
GO:0002537	nitric oxide production involved in inflammatory response
GO:0075530	establishment of latency as a linear episome
GO:0051585	negative regulation of dopamine uptake involved in synaptic transmission
GO:0002538	arachidonic acid metabolite production involved in inflammatory response
GO:0002539	prostaglandin production involved in inflammatory response
GO:0051582	positive regulation of neurotransmitter uptake
GO:0051583	dopamine uptake involved in synaptic transmission
GO:1905901	positive regulation of smooth muscle tissue development
GO:1905903	negative regulation of mesoderm formation
GO:1905904	positive regulation of mesoderm formation
GO:1905905	pharyngeal gland morphogenesis
GO:1905909	regulation of dauer entry
GO:0051501	diterpene phytoalexin metabolic process
GO:0051504	diterpene phytoalexin precursor biosynthetic process pathway
GO:0051502	diterpene phytoalexin biosynthetic process
GO:0051503	adenine nucleotide transport
GO:1905910	negative regulation of dauer entry
GO:1905911	positive regulation of dauer entry
GO:1905912	regulation of calcium ion export across plasma membrane
GO:1905913	negative regulation of calcium ion export across plasma membrane
GO:1905914	positive regulation of calcium ion export across plasma membrane
GO:1905915	regulation of cell differentiation involved in phenotypic switching
GO:1905916	negative regulation of cell differentiation involved in phenotypic switching
GO:0036095	obsolete positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter
GO:0036097	obsolete pre-miRNA 3'-end processing
GO:0036098	male germ-line stem cell population maintenance
GO:0036099	female germ-line stem cell population maintenance
GO:0036083	obsolete positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter
GO:0036084	GDP-fucose import into endoplasmic reticulum lumen
GO:0036085	GDP-fucose import into Golgi lumen
GO:0036086	positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation
GO:0036089	cleavage furrow formation
GO:0002745	antigen processing and presentation initiated by receptor mediated uptake of antigen
GO:0085008	obsolete interaction with host via secreted substance released from microneme
GO:0085006	obsolete interaction with host mediated by symbiont secreted substance released from symbiont-containing vacuole
GO:0085007	obsolete interaction with host via secreted substance released from rhoptry
GO:0085004	obsolete interaction with host via secreted substance released from haustorium
GO:0085005	obsolete interaction with host via secreted substance released from invasive hyphae
GO:1905884	negative regulation of triglyceride transport
GO:0085003	obsolete interaction with host via secreted substance released from stylet
GO:1905885	positive regulation of triglyceride transport
GO:1905886	obsolete chromatin remodeling involved in meiosis I
GO:0061049	cell growth involved in cardiac muscle cell development
GO:1905887	autoinducer AI-2 transmembrane transport
GO:0002746	antigen processing and presentation following pinocytosis
GO:0002747	antigen processing and presentation following phagocytosis
GO:0002748	antigen processing and presentation initiated by pattern recognition receptor mediated uptake of antigen
GO:0002749	antigen processing and presentation initiated by toll-like receptor mediated phagocytosis of antigen
GO:0002755	MyD88-dependent toll-like receptor signaling pathway
GO:0002756	MyD88-independent toll-like receptor signaling pathway
GO:0002750	antigen processing and presentation following macropinocytosis
GO:0002751	antigen processing and presentation following receptor mediated endocytosis
GO:0061035	regulation of cartilage development
GO:0061036	positive regulation of cartilage development
GO:0061037	negative regulation of cartilage development
GO:1905898	positive regulation of response to endoplasmic reticulum stress
GO:1905899	regulation of smooth muscle tissue development
GO:0002757	immune response-activating signaling pathway
GO:0002759	regulation of antimicrobial humoral response
GO:0002720	positive regulation of cytokine production involved in immune response
GO:0099632	protein transport within plasma membrane
GO:0099633	protein localization to postsynaptic specialization membrane
GO:0002721	regulation of B cell cytokine production
GO:0002722	negative regulation of B cell cytokine production
GO:0099630	postsynaptic neurotransmitter receptor cycle
GO:0002723	positive regulation of B cell cytokine production
GO:0061060	negative regulation of peptidoglycan recognition protein signaling pathway
GO:0061061	muscle structure development
GO:0061064	negative regulation of nematode larval development
GO:0061065	regulation of dauer larval development
GO:0061067	negative regulation of dauer larval development
GO:0061068	urethra development
GO:0002728	negative regulation of natural killer cell cytokine production
GO:0002729	positive regulation of natural killer cell cytokine production
GO:0099638	endosome to plasma membrane protein transport
GO:0099639	neurotransmitter receptor transport, endosome to plasma membrane
GO:0002724	regulation of T cell cytokine production
GO:0099636	cytoplasmic streaming
GO:0002725	negative regulation of T cell cytokine production
GO:0099637	neurotransmitter receptor transport
GO:0002726	positive regulation of T cell cytokine production
GO:0002727	regulation of natural killer cell cytokine production
GO:0099643	signal release from synapse
GO:0002731	negative regulation of dendritic cell cytokine production
GO:0099644	protein localization to presynaptic membrane
GO:0002732	positive regulation of dendritic cell cytokine production
GO:0002733	regulation of myeloid dendritic cell cytokine production
GO:0099641	anterograde axonal protein transport
GO:0099642	retrograde axonal protein transport
GO:0002734	negative regulation of myeloid dendritic cell cytokine production
GO:0099640	axo-dendritic protein transport
GO:0002730	regulation of dendritic cell cytokine production
GO:0002735	positive regulation of myeloid dendritic cell cytokine production
GO:0002736	regulation of plasmacytoid dendritic cell cytokine production
GO:0002737	negative regulation of plasmacytoid dendritic cell cytokine production
GO:0099645	neurotransmitter receptor localization to postsynaptic specialization membrane
GO:0002738	positive regulation of plasmacytoid dendritic cell cytokine production
GO:0099646	neurotransmitter receptor transport, plasma membrane to endosome
GO:0002700	regulation of production of molecular mediator of immune response
GO:0002701	negative regulation of production of molecular mediator of immune response
GO:0061080	right horn of sinus venosus development
GO:0061081	positive regulation of myeloid leukocyte cytokine production involved in immune response
GO:0061082	myeloid leukocyte cytokine production
GO:0061083	regulation of protein refolding
GO:0061084	negative regulation of protein refolding
GO:0061088	regulation of sequestering of zinc ion
GO:0061089	negative regulation of sequestering of zinc ion
GO:0002706	regulation of lymphocyte mediated immunity
GO:0002707	negative regulation of lymphocyte mediated immunity
GO:0002708	positive regulation of lymphocyte mediated immunity
GO:0002709	regulation of T cell mediated immunity
GO:0002702	positive regulation of production of molecular mediator of immune response
GO:0002703	regulation of leukocyte mediated immunity
GO:0002704	negative regulation of leukocyte mediated immunity
GO:0002705	positive regulation of leukocyte mediated immunity
GO:0002710	negative regulation of T cell mediated immunity
GO:0002711	positive regulation of T cell mediated immunity
GO:0002712	regulation of B cell mediated immunity
GO:0061071	urethra epithelium development
GO:0061072	iris morphogenesis
GO:0061073	ciliary body morphogenesis
GO:0061079	left horn of sinus venosus development
GO:0002717	positive regulation of natural killer cell mediated immunity
GO:0002713	negative regulation of B cell mediated immunity
GO:0002714	positive regulation of B cell mediated immunity
GO:0002715	regulation of natural killer cell mediated immunity
GO:0002716	negative regulation of natural killer cell mediated immunity
GO:0061090	positive regulation of sequestering of zinc ion
GO:0061094	regulation of turning behavior involved in mating
GO:0051632	negative regulation of acetylcholine uptake
GO:0051633	positive regulation of acetylcholine uptake
GO:0051630	acetylcholine uptake
GO:0051631	regulation of acetylcholine uptake
GO:0051634	inhibition of acetylcholine uptake
GO:0051638	barbed-end actin filament uncapping
GO:0051639	actin filament network formation
GO:1905805	excitatory synapse pruning
GO:1905806	regulation of synapse pruning
GO:1905807	negative regulation of synapse pruning
GO:1905808	positive regulation of synapse pruning
GO:1905809	negative regulation of synapse organization
GO:0051643	endoplasmic reticulum localization
GO:0051642	centrosome localization
GO:0051647	nucleus localization
GO:0051648	vesicle localization
GO:0051645	Golgi localization
GO:0051646	mitochondrion localization
GO:0051649	establishment of localization in cell
GO:0051640	organelle localization
GO:0002687	positive regulation of leukocyte migration
GO:0051654	establishment of mitochondrion localization
GO:0051655	maintenance of vesicle location
GO:0002688	regulation of leukocyte chemotaxis
GO:0002689	negative regulation of leukocyte chemotaxis
GO:0051652	maintenance of chromosome location
GO:0051653	spindle localization
GO:0051658	maintenance of nucleus location
GO:0002683	negative regulation of immune system process
GO:0002684	positive regulation of immune system process
GO:0051659	maintenance of mitochondrion location
GO:0051656	establishment of organelle localization
GO:0002685	regulation of leukocyte migration
GO:0002686	negative regulation of leukocyte migration
GO:0051657	maintenance of organelle location
GO:0002680	pro-T cell lineage commitment
GO:0002681	somatic recombination of T cell receptor gene segments
GO:0002682	regulation of immune system process
GO:0051650	establishment of vesicle localization
GO:0051651	maintenance of location in cell
GO:0002698	negative regulation of immune effector process
GO:0051665	membrane raft localization
GO:0002699	positive regulation of immune effector process
GO:0051666	actin cortical patch localization
GO:0051663	oocyte nucleus localization involved in oocyte dorsal/ventral axis specification
GO:0051664	nuclear pore localization
GO:0002694	regulation of leukocyte activation
GO:0002695	negative regulation of leukocyte activation
GO:0051667	establishment of plastid localization
GO:0002696	positive regulation of leukocyte activation
GO:0051668	localization within membrane
GO:0002697	regulation of immune effector process
GO:0002690	positive regulation of leukocyte chemotaxis
GO:0002691	regulation of cellular extravasation
GO:0002692	negative regulation of cellular extravasation
GO:0002693	positive regulation of cellular extravasation
GO:0051661	maintenance of centrosome location
GO:0051660	establishment of centrosome localization
GO:0002665	negative regulation of T cell tolerance induction
GO:0099610	action potential initiation
GO:0051676	pullulan metabolic process
GO:0002666	positive regulation of T cell tolerance induction
GO:0051677	pullulan biosynthetic process
GO:0099611	regulation of action potential firing threshold
GO:0051674	localization of cell
GO:0002667	regulation of T cell anergy
GO:0002668	negative regulation of T cell anergy
GO:0002661	regulation of B cell tolerance induction
GO:0002662	negative regulation of B cell tolerance induction
GO:0002663	positive regulation of B cell tolerance induction
GO:0051678	pullulan catabolic process
GO:0051679	6-alpha-maltosylglucose metabolic process
GO:0002664	regulation of T cell tolerance induction
GO:0002660	positive regulation of peripheral tolerance induction
GO:0061000	negative regulation of dendritic spine development
GO:0061001	regulation of dendritic spine morphogenesis
GO:1905850	positive regulation of forward locomotion
GO:0061003	positive regulation of dendritic spine morphogenesis
GO:0061004	pattern specification involved in kidney development
GO:1905843	regulation of cellular response to gamma radiation
GO:0061005	cell differentiation involved in kidney development
GO:0061009	common bile duct development
GO:0002669	positive regulation of T cell anergy
GO:0051672	obsolete catabolism by organism of cell wall peptidoglycan in other organism
GO:0099614	protein localization to spore cell wall
GO:0099612	protein localization to axon
GO:0051671	obsolete induction of autolysin activity in other organism
GO:0099613	protein localization to cell wall
GO:0002676	regulation of chronic inflammatory response
GO:0051687	maintenance of spindle location
GO:0002677	negative regulation of chronic inflammatory response
GO:0099622	cardiac muscle cell membrane repolarization
GO:0051688	maintenance of plastid location
GO:0002678	positive regulation of chronic inflammatory response
GO:0051685	maintenance of ER location
GO:0051686	establishment of ER localization
GO:0002679	respiratory burst involved in defense response
GO:0002672	positive regulation of B cell anergy
GO:0002673	regulation of acute inflammatory response
GO:0002674	negative regulation of acute inflammatory response
GO:0002675	positive regulation of acute inflammatory response
GO:0002670	regulation of B cell anergy
GO:0002671	negative regulation of B cell anergy
GO:1905860	positive regulation of heparan sulfate proteoglycan binding
GO:1905861	intranuclear rod assembly
GO:1905851	negative regulation of backward locomotion
GO:1905852	positive regulation of backward locomotion
GO:0051680	6-alpha-maltosylglucose biosynthetic process
GO:0099627	neurotransmitter receptor cycle
GO:0099628	neurotransmitter receptor diffusion trapping
GO:0099625	ventricular cardiac muscle cell membrane repolarization
GO:0051683	establishment of Golgi localization
GO:0051684	maintenance of Golgi location
GO:0051681	6-alpha-maltosylglucose catabolic process
GO:0099623	regulation of cardiac muscle cell membrane repolarization
GO:0051682	galactomannan catabolic process
GO:0099624	atrial cardiac muscle cell membrane repolarization
GO:0002643	regulation of tolerance induction
GO:0002644	negative regulation of tolerance induction
GO:0051696	pointed-end actin filament uncapping
GO:0002645	positive regulation of tolerance induction
GO:0051697	protein delipidation
GO:0002646	regulation of central tolerance induction
GO:1905870	positive regulation of 3'-UTR-mediated mRNA stabilization
GO:1905871	regulation of protein localization to cell leading edge
GO:1905872	negative regulation of protein localization to cell leading edge
GO:0061024	membrane organization
GO:1905863	obsolete invadopodium organization
GO:0061025	membrane fusion
GO:0061026	cardiac muscle tissue regeneration
GO:0061027	umbilical cord development
GO:1905867	epididymis development
GO:0061029	eyelid development in camera-type eye
GO:1905868	regulation of 3'-UTR-mediated mRNA stabilization
GO:1905869	negative regulation of 3'-UTR-mediated mRNA stabilization
GO:0051694	pointed-end actin filament capping
GO:0002647	negative regulation of central tolerance induction
GO:0002648	positive regulation of central tolerance induction
GO:0051695	actin filament uncapping
GO:0002649	regulation of tolerance induction to self antigen
GO:0051693	actin filament capping
GO:0002654	positive regulation of tolerance induction dependent upon immune response
GO:0002655	regulation of tolerance induction to nonself antigen
GO:0002656	negative regulation of tolerance induction to nonself antigen
GO:0002657	positive regulation of tolerance induction to nonself antigen
GO:0002650	negative regulation of tolerance induction to self antigen
GO:0002651	positive regulation of tolerance induction to self antigen
GO:0002652	regulation of tolerance induction dependent upon immune response
GO:0002653	negative regulation of tolerance induction dependent upon immune response
GO:0061010	gallbladder development
GO:0061011	hepatic duct development
GO:1905873	positive regulation of protein localization to cell leading edge
GO:0061013	regulation of mRNA catabolic process
GO:1905874	regulation of postsynaptic density organization
GO:0061014	positive regulation of mRNA catabolic process
GO:1905875	negative regulation of postsynaptic density organization
GO:0061015	snRNA import into nucleus
GO:1905876	positive regulation of postsynaptic density organization
GO:0061016	snRNA localization to Cajal body
GO:1905877	obsolete invadopodium assembly
GO:1905878	obsolete invadopodium disassembly
GO:1905879	regulation of oogenesis
GO:0099607	lateral attachment of mitotic spindle microtubules to kinetochore
GO:0099608	regulation of action potential firing pattern
GO:0099605	regulation of action potential firing rate
GO:0099606	microtubule plus-end directed mitotic chromosome migration
GO:0002658	regulation of peripheral tolerance induction
GO:0002659	negative regulation of peripheral tolerance induction
GO:0099601	regulation of neurotransmitter receptor activity
GO:0036072	direct ossification
GO:0036073	perichondral ossification
GO:0036077	intratendonous ossification
GO:0036070	light-independent bacteriochlorophyll biosynthetic process
GO:0036060	slit diaphragm assembly
GO:0036061	muscle cell chemotaxis toward tendon cell
GO:0051600	regulation of endocytosis by exocyst localization
GO:0051603	proteolysis involved in protein catabolic process
GO:0051604	protein maturation
GO:0051601	exocyst localization
GO:0051602	response to electrical stimulus
GO:0051607	defense response to virus
GO:0051608	histamine transport
GO:0051606	detection of stimulus
GO:0051609	inhibition of neurotransmitter uptake
GO:0051610	serotonin uptake
GO:0051611	regulation of serotonin uptake
GO:0051614	inhibition of serotonin uptake
GO:0051615	histamine uptake
GO:0051612	negative regulation of serotonin uptake
GO:0051613	positive regulation of serotonin uptake
GO:0051618	positive regulation of histamine uptake
GO:0051619	inhibition of histamine uptake
GO:0051616	regulation of histamine uptake
GO:0051617	negative regulation of histamine uptake
GO:0036016	cellular response to interleukin-3
GO:0036017	response to erythropoietin
GO:0036018	cellular response to erythropoietin
GO:0051621	regulation of norepinephrine uptake
GO:0051622	negative regulation of norepinephrine uptake
GO:0051620	norepinephrine uptake
GO:0051625	epinephrine uptake
GO:0051626	regulation of epinephrine uptake
GO:0051623	positive regulation of norepinephrine uptake
GO:0051624	inhibition of norepinephrine uptake
GO:0051629	inhibition of epinephrine uptake
GO:0051627	negative regulation of epinephrine uptake
GO:0051628	positive regulation of epinephrine uptake
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress
GO:0036005	response to macrophage colony-stimulating factor
GO:0036006	cellular response to macrophage colony-stimulating factor stimulus
GO:0036008	sucrose catabolic process to fructose-6-phosphate and glucose-6-phosphate
GO:0120075	positive regulation of endocardial cushion cell differentiation
GO:0120076	negative regulation of endocardial cushion cell differentiation
GO:0120071	regulation of pyloric antrum smooth muscle contraction
GO:0120072	positive regulation of pyloric antrum smooth muscle contraction
GO:0120074	regulation of endocardial cushion cell differentiation
GO:0120085	obsolete transposon integration involved in RNA-mediated transposition
GO:0120010	intermembrane phospholipid transfer
